"threadsAmount","tasksAmount","time"
"1","1","170964338"
"1","1","327788277"
"1","1","440144500"
"1","1","551643565"
"1","1","655036181"
"1","1","756011518"
"1","1","855772341"
"1","1","956362783"
"1","1","1052550634"
"1","1","1146902777"
"1","4","216460672"
"1","4","432729750"
"1","4","661673856"
"1","4","880475481"
"1","4","1096395466"
"1","4","1312942230"
"1","4","1526706779"
"1","4","1742685741"
"1","4","1960200495"
"1","4","2173400571"
"1","8","389590353"
"1","8","776246339"
"1","8","1165894480"
"1","8","1551017343"
"1","8","1941452266"
"1","8","2329817581"
"1","8","2712692389"
"1","8","3099224392"
"1","8","3486128543"
"1","8","3872050531"
"1","10","479391502"
"1","10","953544208"
"1","10","1424414336"
"1","10","1900098434"
"1","10","2378204779"
"1","10","2856138730"
"1","10","3331044616"
"1","10","3801131815"
"1","10","4274032829"
"1","10","4742422045"
"1","40","1753851283"
"1","40","3518094622"
"1","40","5278360726"
"1","40","7023811341"
"1","40","8786376049"
"1","40","10531797678"
"1","40","12278719369"
"1","40","14038663795"
"1","40","15808680404"
"1","40","17568404354"
"1","80","3276329742"
"1","80","6548514762"
"1","80","9817631211"
"1","80","13064747399"
"1","80","16345388604"
"1","80","19631289961"
"1","80","22860600075"
"1","80","26107391521"
"1","80","29352392833"
"1","80","32590897202"
"1","480000","12592473"
"1","480000","24861346"
"1","480000","48925690"
"1","480000","60671144"
"1","480000","91965841"
"1","480000","103729012"
"1","480000","115706681"
"1","480000","172527056"
"1","480000","184387907"
"1","480000","969189694"
"4","1","93813942"
"4","1","204503085"
"4","1","298860813"
"4","1","391947774"
"4","1","485550554"
"4","1","579271599"
"4","1","673754741"
"4","1","767165967"
"4","1","861310534"
"4","1","954090307"
"4","4","389512901"
"4","4","745444753"
"4","4","1100244308"
"4","4","1439618033"
"4","4","1778169056"
"4","4","2127740064"
"4","4","2474563565"
"4","4","2825061352"
"4","4","3164547498"
"4","4","3516145562"
"4","8","689551976"
"4","8","1397323858"
"4","8","2106697493"
"4","8","2817326157"
"4","8","3533713505"
"4","8","4249970770"
"4","8","4970250145"
"4","8","5684771475"
"4","8","6416510567"
"4","8","7137237300"
"4","10","862129104"
"4","10","1706757787"
"4","10","2520289569"
"4","10","3377952442"
"4","10","4233410987"
"4","10","5099713114"
"4","10","5944827001"
"4","10","6791285575"
"4","10","7639534194"
"4","10","8493728744"
"4","40","3080202018"
"4","40","6188612648"
"4","40","9290728161"
"4","40","12392177877"
"4","40","15515137849"
"4","40","18603463758"
"4","40","21711556572"
"4","40","24835503283"
"4","40","27956272275"
"4","40","31080447186"
"4","80","5879307169"
"4","80","11686714678"
"4","80","17524057023"
"4","80","23313158653"
"4","80","29172639018"
"4","80","35054702249"
"4","80","40873003679"
"4","80","46654671236"
"4","80","52502380201"
"4","80","58245069259"
"4","480000","14157070"
"4","480000","28032187"
"4","480000","41487863"
"4","480000","84383477"
"4","480000","98066448"
"4","480000","111716029"
"4","480000","125385252"
"4","480000","139123692"
"4","480000","153086884"
"4","480000","166753622"
"8","1","100750283"
"8","1","200090288"
"8","1","296170464"
"8","1","390293763"
"8","1","482272831"
"8","1","576588502"
"8","1","676014023"
"8","1","770340911"
"8","1","895820575"
"8","1","988949949"
"8","4","346130596"
"8","4","704116482"
"8","4","1054436198"
"8","4","1400709542"
"8","4","1747476524"
"8","4","2182655498"
"8","4","2528310267"
"8","4","2867725482"
"8","4","3216546869"
"8","4","3558177801"
"8","8","974476973"
"8","8","1962229520"
"8","8","2886289343"
"8","8","3840124457"
"8","8","4901316909"
"8","8","5859373979"
"8","8","6813866810"
"8","8","7750659970"
"8","8","8754585830"
"8","8","9689578325"
"8","10","1304919005"
"8","10","2605316064"
"8","10","4131618831"
"8","10","5461127806"
"8","10","6820008244"
"8","10","8152389390"
"8","10","9701519063"
"8","10","10971585493"
"8","10","12284544538"
"8","10","13766729217"
"8","40","6020931193"
"8","40","12101562541"
"8","40","18444373079"
"8","40","24783880568"
"8","40","31112307302"
"8","40","37419947332"
"8","40","43715351654"
"8","40","50012863690"
"8","40","56118633712"
"8","40","62181619078"
"8","80","11603174985"
"8","80","23128896352"
"8","80","34740695823"
"8","80","46464878794"
"8","80","58180817330"
"8","80","69712144999"
"8","80","81471105050"
"8","80","93098341991"
"8","80","104785560124"
"8","80","116579080496"
"8","480000","13852661"
"8","480000","27529789"
"8","480000","41233366"
"8","480000","55295147"
"8","480000","69028215"
"8","480000","82897527"
"8","480000","96973063"
"8","480000","110767881"
"8","480000","124940556"
"8","480000","204955108"
